Location,Description,Price,Surface,RoomN,Listing,Company,HashKey
"Rruga e Kavajes Tirana, Albania",1+1 apartment for rent on Kavaje Street!,500 €,55 m2,,To Rent ,Century21,cb245bd44e3177597b21a0958e9ad596
"Rruga e Kavajes Tirana, Albania",2+1+2 bathroom apartment for rent on Kavaje Street!,800 €,90 m2,,To Rent ,Century21,a147e86f4d8c2d5cec2ec00492f094fc
"Rruga ""Jordan Misja"" Tirana, Albania",1+1 apartment for rent at Rr. Jordan Misja!,350 €,73 m2,,To Rent ,Century21,58a720dfa0344d17c0c3d25fed6321a0
"Tirana, Albania",APARTMENT 1+1 WITH VERANDA+PARKING SPACE FOR SALE - TEG!,"250,000 €",75 m2,,For Sale ,Century21,77f8d4dc496e26ef0e5534c69102065c
"Tirana, Albania","19,342 m2 of land for sale in front of the airport in Rinas","1,740,000 €",19342 m2,,For Sale ,Century21,deb09f7ac06364758781c5522a4dcd9a
"Tirana, Albania",JEPET ME QIRA AMBIENT KOMERCIAL PRANE PAZARIT TE RI,"2,000 €",360 m2,,To Rent ,Century21,9f8447b22a4b0ab63af68a6fa64ef640
"Materniteti i Ri Tirana, Albania",2+1 APARTMENT FOR RENT IN NEW MATERNITY!,500 €,107 m2,,To Rent ,Century21,fdd36536a3a7d6f58dea842668d54a72
"Tirana, Albania","1+1 apartment for sale, Don Bosco!","90,000 €",46 m2,,For Sale ,Century21,38a1239e470210a1c270705564148b51
"SunRise Residence Tirana, Albania","3+1 Apartment for Rent in ""Sunrise Residence""","1,700 €",170 m2,,To Rent ,Century21,59a06a0618da7163f1ce1c9d026e2186
"Tirana, Albania",FOR SALE 5000 M2 LAND IN LUNDER!,"650,000 €",5000 m2,,For Sale ,Century21,034ed8d21accddf2a3a7081b901de536
"Rruga Haxhi Dalliu Tirana, Albania",NEW APARTMENT FOR RENT 2+1 NEAR THE PROSECUTOR'S OFFICE OF TIRANA,800 €,100 m2,,To Rent ,Century21,f14f11e873360b95becdfafe0822ed76
"Yzberish Tirana, Albania",LAND FOR SALE IN YZBERISH!,"260,000 €",4600 m2,,For Sale ,Century21,150849d0dd890fdabead16e5f372a717
"Rezidenca Green City Tirana, Albania","Service unit at the ""Green City"" Residence!","120,000 €",44 m2,,For Sale ,Century21,3be2288af5730132efa40abf0cb2dba5
"Tirana, Albania","FOR SALE 1+1 APARTMENT WITH VERANDA NEAR RED SCHOOL, QEMAL STAFA STREET!!","115,000 €",85.82 m2,,For Sale ,Century21,cca45c735412cca10b6d72b49acfabac
"Tirana, Albania","RENT, AMBIENT BAR - LOUNGE, FORMER BLOCK ‼️","2,000 €",120 m2,,To Rent ,Century21,8486fa69b4365496e3172fd5b3757bfa
"Tirana, Albania",We are selling a 2+1+2 apartment on New Boulevard,"153,000 €",118 m2,,For Sale ,Century21,3012be3c699e5d9ca5b419d10864d85e
"Tirana, Albania",OFFICE APARTMENT FOR RENT IN THE CENTER,800 €,100 m2,,To Rent ,Century21,2f009b11b5feeaa322698485fb3786fe
"Myslym Shyri Tirana, Albania",OFFICE IN MYSLYM SHYRI!,400 €,34 m2,,To Rent ,Century21,a119ee40de7141e21ddbf25b17374797
"Ali Demi Tirana, Albania",APARTMENT FOR RENT 2+1+2 WITH EXTERIOR PARKING!,500 €,91 m2,,To Rent ,Century21,e6fa471ea13719a6799e123705488197
"Tirana, Albania",APARTMENT 1 +1 FOR RENT IN FARKE,300 €,56 m2,,To Rent ,Century21,e514163f2683b08622696d2591dac5f2
"Tirana, Albania","Shop, Bakery for sale, in Don Bosco.","150,000 €",80 m2,,For Sale ,Century21,1b9125f3e199c1e1b446b899cc059e5f
"Tirana, Albania",Bakery unit for rent in Don Bosco area.,600 €,80 m2,,To Rent ,Century21,b7e661f669383f0a5390ce3d0cc65cba
"Rruga Loni Ligori Tirana, Albania",2+1+2 apartment for rent in New Ring!,450 €,98 m2,,To Rent ,Century21,702d0926a7083cb8f41883a83e40f18a
"Fondacioni Eleonora Tirana, Albania",1+1 apartment in Kodra e Diellit,550 €,65 m2,,To Rent ,Century21,674676a50b752282ccc279a2575f9a58
"Tirana, Albania","APARTMENT FOR SALE 2+1+2 IN KMY, YZBERISH","128,000 €",107 m2,,For Sale ,Century21,59c5d4a36151af612a49602d91ed4fec
"Rruga Elbasanit Tirana, Albania",BUSINESS UNIT FOR RENT ON ELBASAN STREET,"3,200 €",200 m2,,To Rent ,Century21,d2759f40d428b807354396e7acd02623
"Tirana, Albania",APARTMENT FOR RENT 1+1+PARKING SPACE!,550 €,68 m2,,To Rent ,Century21,318990a9c8b921afac7996b09c7eaaab
"Rruga Siri Kodra Tirana, Albania","2+1 apartment for sale in Oberon Residence, Former Train Station","175,186 €",80 m2,,For Sale ,Century21,c24ea23d35486c866786a744d65bfecc
"Yzberisht Nela 6 Tirana, Albania",2+1 Yzberisht Apartment for sale!,"140,000 €",98 m2,,For Sale ,Century21,9e23263d1afaaafea7a18e4d727f80a3
"Tirana, Albania",1+1 APARTMENT FOR RENT NEAR DIPLOMAT 1!,500 €,59 m2,,To Rent ,Century21,0a13ed547544b3bba1cab02d8528ed67
"Rruga Siri Kodra Tirana, Albania","2+1+2 apartment for sale in Oberon Residence, Former Train Station","234,600 €",102 m2,,For Sale ,Century21,3be97ebe8712ebaf56c12be43c7e8212
"Rruga ""Petrela' Tirana, Albania",2+1+2 Apartment for sale near the Train Station,"215,000 €",104 m2,,For Sale ,Century21,95ce96dc6a9c1e9f340bef7e654e780e
"Perballe me Kompleksin Delijorgji Tirana, Albania","PALLATI WITH ARROWS, 2+1 APARTMENT FOR SALE","205,000 €",105 m2,,For Sale ,Century21,b2238b7c4c1a9ce4621c2c60aeebe009
"Kopshti Zoologjik, prane Pavarotti Tirana, Albania",Office space at the Zoo!,"3,000 €",200 m2,,To Rent ,Century21,6a67296c19116ac27ddc6879580fd7d1
"Perballe Kompleksit Deliorgji Tirana, Albania","20 parking spaces for sale, in front of Deliorgji at Globe!","319,000 €",290 m2,,For Sale ,Century21,5a654ed8ead12bac4cc5047372c4ff2d
"Mjull Bathore Tirana, Albania","MJULLE - BATHORE, VILLAS FOR SALE!","550,000 €",905 m2,,For Sale ,Century21,826d00abbc34143ee588c2b0f87e1d04
"Mjulle - Bathore Tirana, Albania","MJULLE - BATHORE, VILLA FOR SALE","500,000 €",440 m2,,For Sale ,Century21,e5515bda00a9239ca967389911fe5110
"Tirana, Albania",APARTMENT 3+1+2 BOTANICAL GARDEN FOR SALE!,"195,000 €",140 m2,,For Sale ,Century21,02c3080d088a2b58e8aeeb33b28b0550
"Varri i Bamit Tirana, Albania","Varri i Bamit, 1+1 apartment for rent",350 €,60 m2,,To Rent ,Century21,939dd0e0e6f0a706a0fe68924af56929
"Rruga ""Medar Shtylla"" Tirana, Albania","MEDAR SHTYLLA STREET, COMMERCIAL ENVIRONMENT FOR RENT","2,800 €",190 m2,,To Rent ,Century21,a473f33f75b0b199984aa4aaa20e04c5
"Sauk Olive Park Residences Tirana, Albania",Individual villas for sale at Olive Park Residences!,"840,000 €",633 m2,,For Sale ,Century21,c39cba97b277887acc43e7c14fcb12bc
"Tirana, Albania",Duplex Business Premises for Rent in Ruga e Barricadave,"10,000 €",578 m2,,To Rent ,Century21,2117209b7bedbf2a6a4c72bd324e93a3
"Tirana, Albania",APARTMENT FOR SALE 2+1 IN DELIJORGJI COMPLEX,"275,000 €",114 m2,,For Sale ,Century21,c784d82b2ebfa250c912d97e83cb2945
"Bulevardi i Ri Tirana, Albania","1+1 FOR SALE AT NEW BULEVARD, FIRST LINE","94,000 €",53 m2,,For Sale ,Century21,33ea660aec7fd672c8c02fff294faea1
"Bulevardi i Ri Tirana, Albania","1+1 APARTMENT FOR SALE ON NEW BULEVARD, FIRST LINE","135,000 €",76 m2,,For Sale ,Century21,460fd42bece99a8a6f9981630c69aeaa
"Ish Ekspozita Tirana, Albania",Environment for the clinic in the Former Exhibition!,"470,000 €",152 m2,,For Sale ,Century21,52c609a658b687c92301b2b6a0eaa0d2
"Mbi Gjimnazin Ismail Qemali Tirana, Albania",2+1 apartment for rent above the Ismail Qemali gymnasium!,600 €,72 m2,,To Rent ,Century21,52df56a9f285f7a2f7aeb52b7a3c9d13
"Tirana, Albania",Apartment 2+1+2 at Oasis Residence!!,570 €,103 m2,,To Rent ,Century21,f18a52a91ab37bfeac56508b7070c9fb
"Kompleksi Arlis, Farmacia 10 Tirana, Albania","SHESIM APARTAMENT 2+1, KOMPLEKSI ARLIS ""FARMACIA 10""","190,000 €",103 m2,,For Sale ,Century21,7d10aa810ec9ba18ed5a3cfe905e69b0
"Tirana, Albania",Apartment 2+1 for Sale,"120,000 €",74 m2,,For Sale ,Century21,d76559b0092279505c8398aee209b527
"Tirana, Albania",2+1+2 apartment for sale in the Aviation Field!,"139,000 €",107 m2,,For Sale ,Century21,dbccf915bf6dd8db4c312465feaa56fb
"Rruga Bardhok Biba Tirana, Albania",2+1 apartment for rent near Skernderbej Square!,750 €,84 m2,,To Rent ,Century21,43cd9745500b82d4eb438ca667208e4f
"Tirana, Albania","TO THE MUNICIPALITY OF PARIS, 1800 EURO/M2, WHITE TOWER, DUPLEX FOR SALE 4+1+3!","389,000 €",216 m2,,For Sale ,Century21,6c0c94273451985338eb029e4e322e35
"Rruga 4 Deshmtoret Tirana, Albania",JEPET ME QIRA AMBIENT KOMERCIAL PRANE SHKOLLES SE KUQE!!!,550 €,40 m2,,To Rent ,Century21,e843832e2e8ae464e81afee195bc76cf
"Rruga 4 Deshmtoret Tirana, Albania",JEPET ME QIRA AMBIENT KOMERCIAL PRANE SHKOLLES SE KUQE!!!,370 €,40 m2,,To Rent ,Century21,e41a48cdc576900b0203c5f9a977f281
"Rr. 5 Maji Tirana, Albania","APARTMENT FOR SALE 2+1 IN ""5 MAJI"" STREET","145,000 €",108 m2,,For Sale ,Century21,e8d4ed8664c3d72c02815c4231f25f02
"Rruga Petronini Luarasi Tirana, Albania","BALLET SCHOOL, 1+1 APARTMENT FOR SALE!","145,000 €",70 m2,,For Sale ,Century21,20bb9b61606f93d7d255a174df092913
"Rruga Petronini Luarasi Tirana, Albania","BALLET SCHOOL, 1+1 APARTMENT FOR SALE!","136,000 €",70 m2,,For Sale ,Century21,d3701059095a1a970b1334a86ee9cf68
"Tirana, Albania",APARTMENT FOR SALE 3+1+1+ VERANDA NEAR DURRESI RESTAURANT!,Price upon request,153 m2,,For Sale ,Century21,cb7d707bf2d4fc37f31d21f03c82fd4e
"Rruga: Liqeni i thate Tirana, Albania",APARTMENT WITH A FANTASTIC VIEW FOR RENT IN DRY LAKE❗️❗️,700 €,140 m2,,To Rent ,Century21,83c406b78e6db2d39d623bbe2c9175ad
"Tirana, Albania",APARTMENT 2+1+2 FOR RENT IN GERMAN VILLAS!,500 €,100 m2,,To Rent ,Century21,38bebdbc847d82e6da1d05fbc877d5f0
"Tirana, Albania","For rent, for office, 2+1 apartment near the Dinamo stadium.","1,000 €",80 m2,,To Rent ,Century21,f911a65cc52e248962eb08cb244bbaa1
"Univers City Tirana, Albania",1+1 APARTMENT FOR SALE IN UNIVERS CITY!,"56,500 €",61 m2,,Reserved ,Century21,f1d3d56bb892bc1f2291ea1c28b35ce2
"Univers City Tirana, Albania",1+1 APARTMENT FOR SALE IN UNIVERS CITY!,"53,500 €",57 m2,,Reserved ,Century21,83229aa71e0b7acf969c4ebfdd291411
"Tirana, Albania",SHELTER FOR SALE NEAR KASHAR.,Price upon request,1000 m2,,For Sale ,Century21,f7e9fce6fb4ba92ecccd7d07cc1513f0
"Tirana, Albania",2 APARTMENTS FOR RENT NEAR MINE PEZA STREET,"1,300 €",84 m2,,To Rent ,Century21,2410d31946eb99171d7df7182d905d05
"Tirana, Albania",COMMERCIAL ENVIRONMENT FOR SALE ON RR. MYSLYM SHYRI.,Price upon request,177 m2,,For Sale ,Century21,cb73ba9af059731222b88bda459516a0
"Bulevardi ""Zogu I Pare"" Tirana, Albania",SERVICE UNIT FOR RENT!,"1,500 €",130 m2,,To Rent ,Century21,e003d0ad80838b727d172364016505c6
"Bulevardi ""Zogu I Pare"" Tirana, Albania",SERVICE UNIT FOR RENT!,"2,000 €",200 m2,,To Rent ,Century21,b637ad0df917bba4686f482638ca751e
"Tirana, Albania",PRIVATE HOUSE FOR SALE IN BABRRU,"250,000 €",105 m2,,For Sale ,Century21,06d33882af7e09ca99f7d06a5e4afb35
"Tirana, Albania",Business premises for rent on the edge of the road in front of the former exhibition,"1,500 €",42 m2,,To Rent ,Century21,586f81e8aef61721eae6668f9f46d31e
"Afer Spitalit Gjerman II Tirana, Albania","BARDHYL STREET, APARTMENT FOR RENT 1+1!",500 €,80 m2,,To Rent ,Century21,33c2d48a61412b0d193ebab5958b9354
"Rruga e Dibres Tirana, Albania","APARTMENT FOR RENT 1+1 RUGA E DIBRA, MADRASE!",450 €,58 m2,,To Rent ,Century21,83579a77881919c12d526983c3886b45
"Tirana, Albania",APARTMENT FOR SALE 2+1+2+PARKING IN DRY LAKE!!!,"190,000 €",114 m2,,For Sale ,Century21,2827bff2b9a010fd9e21982843d1146b
"brryli Tirana, Albania",APARTMENT FOR SALE AT BRYLI!,"129,000 €",77 m2,,For Sale ,Century21,3de2b174c76d9b8f071a0f56ed80a05f
"Rruga Ali Visha Tirana, Albania",The 3rd floor of a Villa on Mihal Grameno Street is for rent,500 €,146 m2,,To Rent ,Century21,1b18ebb6f76988285fd5c0cf184fd25f
"Tirana, Albania",2+1 apartment for rent near Ferrit Xhajko street!,600 €,115 m2,,To Rent ,Century21,26500509e83556a01b32107ef4deb4ba
"Rruga Xhanfize Keko Tirana, Albania",3+1 apartment for rent in Xhamllik!,600 €,100 m2,,To Rent ,Century21,aee4e25b5ad9ea96043bf587c0e33744
"Univers City Tirana, Albania",1+1 apartment for sale in Univers City,"60,000 €",60 m2,,For Sale ,Century21,d956c436b35c58cb4e612afaa1af100b
"Rr. Moskat Tirana, Albania",Contemporary Office Spaces for Rent near LSI at Diamond Palace,"9,100 €",452 m2,,To Rent ,Century21,007e687bfe28c5e10271a222b4387dce
"Rruga e Elbasanit, Touch Of The Sun Tirana, Albania",Apartment for rent in Residence Touch Of The Sun,"1,000 €",188 m2,,To Rent ,Century21,0c68f3ffa5a8d21f0fd8157adb3a5bb6
"Olive Grove Residenze, Mullet Tirana, Albania",Vile ne Rezidencen Olive Grove,Price upon request,130 m2,,To Rent ,Century21,6b31a9e05e4e2032111321e780d2f23a
"Rruga Xhanfize Keko Tirana, Albania",Apartment for sale 2+1+2 toilets in front of the European University!,"198,000 €",103 m2,,For Sale ,Century21,ed57493411809c843659b52362420352
"Rruga Xhanfize Keko Tirana, Albania",Apartment for sale 2+1+2 toilets in front of the European University!,"198,000 €",103 m2,,For Sale ,Century21,ed57493411809c843659b52362420352
"Laprake Tirana, Albania","LAPRAKE, APARTMENT FOR SALE 2+1","142,000 €",87 m2,,For Sale ,Century21,85cd74c7486dc5c2d07d9d31504ac724
"Fresk Tirana, Albania","2+1 apartment for rent in the Euro 3D Residence, Fresk!",450 €,100 m2,,To Rent ,Century21,5e1c5f29c8c45ececaa18d9f9b3bf098
"Tirana, Albania","APARTMENT 2+1+2 FOR RENT Don Bosco, VISION PLUS WITH PARKING POST!",750 €,130 m2,,To Rent ,Century21,1576b8ce3df4894ab4998738806544e9
"Tirana, Albania",Multifunctional Room for Rent at the Faculty of Sciences,"1,600 €",220 m2,,To Rent ,Century21,ffa781bf0cc8d80a3a86e4138310aa44
"Kodra e Diellit Tirana, Albania",APARTMENT FOR SALE 1+1 NEAR THE HILL OF THE SUN!,"150,000 €",70 m2,,For Sale ,Century21,e36123dee9b8ffffda0ab0d9b337dac9
"Kodra e Diellit Tirana, Albania",APARTAMENT 1+1 PER QIRA PRANE KODRES SE DIELLIT!,500 €,60 m2,,To Rent ,Century21,13aead16be37af1dc3e67d2dcacca329
"Tirana, Albania",APARTMENT FOR SALE 3+1+2+ VERANDA NEAR MIHAL GRAMENO SCHOOL,"297,000 €",203 m2,,For Sale ,Century21,fc36b4990038d8563e366077f3f05764
"Rruga Don Bosko Tirana, Albania","APARTMENT FOR RENT 2+1+2 IN DON BOSCO, (V.PLUS)",600 €,125 m2,,To Rent ,Century21,4ae76b10ac3ef6dd0d4defa540d083ff
"Rruga Don Bosko Tirana, Albania",APARTMENT 1+1 FOR RENT IN DON BOSCO,400 €,70 m2,,To Rent ,Century21,8717db584772eba71b8ddf62fea98d05
"Prane Vizion Plusit Tirana, Albania",2+1 APARTMENT FOR RENT IN DON BOSCO!!,500 €,85 m2,,To Rent ,Century21,98c5b41573e6b70f47c8d75732dd6ebf
"Tirana, Albania",APARTMENT FOR RENT 2+1+2 NEAR THE ZOO!,650 €,121 m2,,To Rent ,Century21,6fa44d01a52783e7a776b2ed3509567e
"Tirana, Albania","RENT, MODERN APARTMENT 1+1 + PARKING POST IN TEG!!",750 €,85 m2,,To Rent ,Century21,471b1e2ebf3e07f8c10be0aa7cf1f4d4
"Tirana, Albania","For rent, for office or residence, 2+1 apartment at Palatet Agimi.",700 €,64 m2,,To Rent ,Century21,08357e00fb703ed9f3978ae45a3018a1
"Liqeni i Thatë, Colombo 2 Tirana, Albania","3+1 apartment in Colombo 2 Complex, near Dry Lake","300,000 €",183 m2,,For Sale ,Century21,c1530ca0707413d4738e4f5786e0dab7
"Rr. Abdyl Frasheri Tirana, Albania",We sell Kapanon in Kashar,Price upon request,4700 m2,,For Sale ,Century21,58ab8df880ee1f730cce1808560ae765
"Vasil Shanto Tirana, Albania","Commercial premises for sale, Vasil Shanto, Tirana","202,000 €",86 m2,,For Sale ,Century21,59ba337f173b2d400e47de0f46e30969
"Tirana, Albania",1+1 apartment for sale in Ali Dem,"87,885 €",65 m2,,For Sale ,Century21,efe069c581cee6a95eeb79d0f5671cd0
"Tirana, Albania","Studio for Sale in Ali Demi, Tirana - €74,385 | 55.1 m²","74,385 €",55 m2,,For Sale ,Century21,02e869a916523e7dc5ba91e1d1c13757
"Tirana, Albania",Commercial premises for sale near the mortgage,"140,000 €",54 m2,,For Sale ,Century21,b9b609225feaf79ab1bd7d00eb7369f9
"Prane TEG Tirana, Albania",VILLA FOR RENT NEAR TEG!,"2,000 €",400 m2,,To Rent ,Century21,8aaf76cff89df85fabd9fa5b985ac9be
"Kashar Tirana, Albania",LAND FOR SALE IN YZBERISH!,"166,000 €",2076 m2,,For Sale ,Century21,40ca2643dbfa59bc5b9e32ad0f10adad
"Tirana, Albania",1+1 APARTMENT FOR SALE IN UNIVERS CITY!,"63,000 €",68 m2,,Reserved ,Century21,15bcea10eef76e2a684f1d96af2118f3
"Mbikalimi i Kasharit Tirana, Albania",MARBLE WORKSHOP FOR RENT NEAR KASHAR OVERSEAS,"3,000 €",3100 m2,,To Rent ,Century21,36d2a6f9648dcd2c0adb05450d03e9e1
"Tirana, Albania",Hotel per shitje në Rrugën e Dibrës 5 minuta larg “Sheshit Skenderbej”!,"2,070,000 €",325 m2,,For Sale ,Century21,9342f3b9864992c740ee0273a45bcd9f
"Rezidenca Green City Tirana, Albania","Apartment 2+1+2 in ""Green City"" Residence","195,000 €",107 m2,,For Sale ,Century21,1eb086cc2fbebb0f426074d58f48cd7b
"Prane TEG Tirana, Albania",Apartament Luksoz prane TEG,"369,000 €",171 m2,,For Sale ,Century21,720560c5e5ac10e8a96469aca9b3433b
